CID,CO_MACSAUD,UF,CO_MUNICIP_R,NOME DO MUNICÍPIO,pop,MortPor100k,mortes_p_covid,A419,A419,J189,J189,J969,J969,J449,J449,J81X,J81X,tot2019,tot2020,dif20_19,%dif20_19,dif20_19_por100khab,tot2019_por100k,%dif20_19_por_mortes_covid
119,1304,AM,130110,Careiro,38348,70.40784395535621,27.0,14.0,16.0,3.0,6.0,1.0,3.0,3.0,1.0,2.0,4.0,23.0,30.0,7.0,30.434782608695656,18.253885469907164,59.9770522582664,25.925925925925924
120,1304,AM,130115,Careiro da Várzea,30846,29.177202878817347,9.0,8.0,9.0,3.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,16.0,22.0,6.0,37.5,19.45146858587823,51.87058289567529,66.66666666666666
121,1304,AM,130120,Coari,85910,176.92934466301944,152.0,64.0,29.0,45.0,19.0,27.0,26.0,5.0,4.0,15.0,11.0,156.0,89.0,-67.0,-42.94871794871795,-77.98859271330463,181.58538004888837,-44.07894736842105
122,1304,AM,130130,Codajás,29168,51.426220515633574,15.0,6.0,11.0,7.0,8.0,13.0,9.0,5.0,2.0,2.0,1.0,33.0,31.0,-2.0,-6.060606060606055,-6.856829402084476,113.13768513439386,-13.333333333333334
123,1304,AM,130185,Iranduba,49011,142.82508008406276,70.0,41.0,36.0,20.0,19.0,12.0,14.0,6.0,2.0,6.0,2.0,85.0,73.0,-12.0,-14.117647058823534,-24.484299442982184,173.43045438779052,-17.142857142857142
124,1304,AM,130240,Lábrea,46882,102.38471054989121,48.0,20.0,18.0,10.0,11.0,7.0,3.0,4.0,5.0,4.0,1.0,45.0,38.0,-7.0,-15.555555555555555,-14.931103621859137,95.98566614052302,-14.583333333333334
125,1304,AM,130250,Manacapuru,98502,178.67657509492193,176.0,74.0,67.0,32.0,22.0,43.0,69.0,13.0,6.0,5.0,7.0,167.0,171.0,4.0,2.39520958083832,4.060831252157317,169.53970477756798,2.272727272727273
126,1304,AM,130255,Manaquiri,33049,78.67106417743351,26.0,12.0,16.0,5.0,3.0,4.0,2.0,4.0,0.0,3.0,1.0,28.0,22.0,-6.0,-21.42857142857143,-18.154860964023115,84.72268449877454,-23.076923076923077
127,1304,AM,130260,Manaus,2219580,168.81572189333116,3747.0,2308.0,2102.0,767.0,800.0,284.0,400.0,199.0,159.0,149.0,150.0,3707.0,3611.0,-96.0,-2.589695171297546,-4.325142594544914,167.01357914560413,-2.5620496397117694
128,1304,AM,130310,Nova Olinda do Norte,38026,84.15294798295902,32.0,9.0,10.0,8.0,4.0,3.0,3.0,4.0,0.0,2.0,2.0,26.0,19.0,-7.0,-26.923076923076927,-18.408457371272288,68.3742702361542,-21.875
129,1304,AM,130320,Novo Airão,19928,70.2529104777198,14.0,6.0,5.0,4.0,4.0,3.0,1.0,2.0,0.0,1.0,3.0,16.0,13.0,-3.0,-18.75,-15.054195102368528,80.28904054596548,-21.428571428571427
130,1304,AM,130350,Pauini,19522,40.97940784755661,8.0,10.0,4.0,4.0,5.0,3.0,0.0,1.0,4.0,2.0,0.0,20.0,13.0,-7.0,-35.0,-35.85698186661203,102.44851961889151,-87.5
