,sigla_uf,vacina,vacina_apelido,semana,mes,qt_total,qt_D1,qt_D2,qt_Reforco,qt_Adicional,qt_Unica
0,MS,85,Astrazeneca,2021-08-22,2021-08-01,46451,182,46269,0,0,0
1,RO,85,Astrazeneca,2021-07-25,2021-07-01,47228,28063,19165,0,0,0
2,RO,85,Astrazeneca,2021-05-02,2021-05-01,23157,16791,6366,0,0,0
3,RS,85,Astrazeneca,2021-07-04,2021-07-01,285475,177905,107570,0,0,0
4,DF,85,Astrazeneca,2021-04-18,2021-04-01,38761,35249,3512,0,0,0
5,DF,85,Astrazeneca,2021-05-02,2021-05-01,70975,51711,19264,0,0,0
6,DF,85,Astrazeneca,2021-08-08,2021-08-01,27847,2002,25845,0,0,0
7,PE,85,Astrazeneca,2021-08-29,2021-08-01,46804,2725,44079,0,0,0
8,PE,85,Astrazeneca,2021-10-03,2021-10-01,92194,2209,89883,50,52,0
9,GO,85,Astrazeneca,2021-01-17,2021-01-01,154,150,4,0,0,0
10,GO,85,Astrazeneca,2021-11-14,2021-11-01,6534,184,6335,15,0,0
11,SP,85,Astrazeneca,2021-05-23,2021-05-01,958379,690290,268075,0,14,0
12,SP,85,Astrazeneca,2021-01-31,2021-02-01,228097,227888,196,1,12,0
13,MG,85,Astrazeneca,2021-07-25,2021-07-01,598946,282526,316406,0,14,0
14,MG,85,Astrazeneca,2021-05-02,2021-05-01,497744,430622,67121,0,1,0
15,PI,85,Astrazeneca,2021-06-06,2021-06-01,95069,91885,3184,0,0,0
16,PI,85,Astrazeneca,2021-11-07,2021-11-01,13073,176,12872,16,9,0
17,PI,85,Astrazeneca,2021-10-17,2021-10-01,42035,227,41783,14,11,0
18,PI,85,Astrazeneca,2021-06-27,2021-07-01,15490,10753,4737,0,0,0
19,PI,85,Astrazeneca,2021-08-22,2021-08-01,51171,3545,47626,0,0,0
20,PB,85,Astrazeneca,2021-05-02,2021-05-01,75368,71719,3649,0,0,0
21,AM,85,Astrazeneca,2021-09-26,2021-10-01,10373,407,9643,319,4,0
22,MT,85,Astrazeneca,2021-11-07,2021-11-01,17602,281,16933,380,8,0
23,RJ,85,Astrazeneca,2021-10-03,2021-10-01,128412,1393,125216,1612,191,0
24,RJ,85,Astrazeneca,2021-05-30,2021-05-01,45988,38205,7783,0,0,0
25,RJ,85,Astrazeneca,2021-03-28,2021-04-01,3364,3307,57,0,0,0
26,RJ,85,Astrazeneca,2021-03-28,2021-03-01,2716,2682,34,0,0,0
27,RR,85,Astrazeneca,2021-09-19,2021-09-01,14668,590,14048,19,11,0
28,RR,85,Astrazeneca,2021-09-26,2021-10-01,2231,61,2162,6,2,0
29,RR,85,Astrazeneca,2021-01-31,2021-02-01,356,356,0,0,0,0
30,RR,85,Astrazeneca,2021-02-14,2021-02-01,49,49,0,0,0,0
31,MA,85,Astrazeneca,2021-05-23,2021-05-01,67493,56147,11346,0,0,0
32,MA,85,Astrazeneca,2021-05-09,2021-05-01,103536,97663,5873,0,0,0
33,BA,85,Astrazeneca,2021-07-04,2021-07-01,180710,121025,59684,0,1,0
34,BA,85,Astrazeneca,2021-02-14,2021-02-01,5418,5383,35,0,0,0
35,PA,85,Astrazeneca,2021-06-06,2021-06-01,131839,106251,25588,0,0,0
36,PA,85,Astrazeneca,2021-01-17,2021-01-01,61,59,2,0,0,0
37,SC,85,Astrazeneca,2021-04-25,2021-04-01,85158,66533,18625,0,0,0
38,SC,85,Astrazeneca,2021-05-09,2021-05-01,107692,100594,7098,0,0,0
39,SC,85,Astrazeneca,2021-04-25,2021-05-01,31652,31499,153,0,0,0
40,ES,85,Astrazeneca,2021-08-15,2021-08-01,85662,19209,66447,6,0,0
41,ES,85,Astrazeneca,2021-06-06,2021-06-01,134612,128099,6510,3,0,0
42,ES,85,Astrazeneca,2021-04-25,2021-05-01,3075,2601,474,0,0,0
43,ES,85,Astrazeneca,2021-03-14,2021-03-01,2399,2386,13,0,0,0
44,RN,85,Astrazeneca,2021-06-27,2021-07-01,30847,27409,3436,0,1,1
45,BA,85,Astrazeneca,2021-10-31,2021-10-01,13,2,11,0,0,0
46,TO,85,Astrazeneca,2021-10-31,2021-11-01,7869,29,7805,34,1,0
47,RS,85,Astrazeneca,1987-07-12,1987-07-01,1,0,1,0,0,0
48,SE,85,Astrazeneca,2021-04-18,2021-04-01,24117,24075,42,0,0,0
49,SE,85,Astrazeneca,2021-03-21,2021-03-01,3051,3051,0,0,0,0
50,SE,85,Astrazeneca,2021-10-10,2021-10-01,10884,31,10840,10,3,0
51,AC,85,Astrazeneca,2021-07-04,2021-07-01,15793,8055,7735,2,1,0
52,AC,85,Astrazeneca,2021-10-31,2021-11-01,1530,174,1288,67,1,0
53,PR,85,Astrazeneca,1976-11-14,1976-11-01,1,1,0,0,0,0
54,PB,85,Astrazeneca,1961-11-19,1961-11-01,1,0,1,0,0,0
55,PB,85,Astrazeneca,1965-04-04,1965-04-01,1,0,1,0,0,0
56,AP,85,Astrazeneca,2021-05-16,2021-05-01,9480,9158,322,0,0,0
57,MG,85,Astrazeneca,2018-08-12,2018-08-01,1,0,1,0,0,0
58,AL,85,Astrazeneca,2021-08-29,2021-08-01,16881,2017,14864,0,0,0
59,AL,85,Astrazeneca,2021-03-14,2021-03-01,4043,4030,13,0,0,0
60,PR,85,Astrazeneca,2021-08-08,2021-08-01,169490,37371,132119,0,0,0
61,PR,85,Astrazeneca,2021-09-26,2021-09-01,116293,604,115641,28,20,0
62,RO,85,Astrazeneca,2021-06-27,2021-06-01,3785,2895,890,0,0,0
63,RO,85,Astrazeneca,2021-07-04,2021-07-01,19616,18105,1511,0,0,0
64,RS,85,Astrazeneca,2021-10-03,2021-10-01,132468,1450,130888,99,31,0
65,RS,85,Astrazeneca,2021-10-17,2021-10-01,101182,1233,99703,224,22,0
66,RS,85,Astrazeneca,2021-03-28,2021-04-01,9510,9455,55,0,0,0
67,DF,85,Astrazeneca,2021-02-28,2021-03-01,14371,14312,59,0,0,0
68,PE,85,Astrazeneca,2021-08-08,2021-08-01,167872,24708,143158,0,6,0
69,GO,85,Astrazeneca,2021-05-30,2021-05-01,20628,19290,1338,0,0,0
70,MG,85,Astrazeneca,2021-07-18,2021-07-01,737174,462242,274930,0,2,0
71,MG,85,Astrazeneca,2021-09-19,2021-09-01,272938,3157,269680,65,36,0
72,MG,85,Astrazeneca,2021-10-10,2021-10-01,242196,997,241020,145,34,0
73,PB,85,Astrazeneca,2021-01-17,2021-01-01,199,198,1,0,0,0
74,AM,85,Astrazeneca,2021-05-02,2021-05-01,38643,12494,26149,0,0,0
75,AM,85,Astrazeneca,2020-12-27,2021-01-01,24,24,0,0,0,0
76,MT,85,Astrazeneca,2021-08-29,2021-08-01,20166,738,19428,0,0,0
77,RJ,85,Astrazeneca,2021-04-25,2021-05-01,20865,18948,1917,0,0,0
78,RJ,85,Astrazeneca,2021-02-28,2021-03-01,97021,96517,503,0,1,0
79,RR,85,Astrazeneca,2021-05-09,2021-05-01,4272,4196,76,0,0,0
80,RR,85,Astrazeneca,2021-03-28,2021-03-01,317,316,1,0,0,0
81,RR,85,Astrazeneca,2021-03-07,2021-03-01,336,331,5,0,0,0
82,MA,85,Astrazeneca,2021-01-31,2021-02-01,16139,16107,32,0,0,0
83,BA,85,Astrazeneca,2021-06-20,2021-06-01,136709,54083,82625,1,0,0
84,PA,85,Astrazeneca,2021-06-20,2021-06-01,197230,144890,52340,0,0,0
85,PA,85,Astrazeneca,2021-08-22,2021-08-01,99912,20140,79771,0,1,0
86,PA,85,Astrazeneca,2021-05-30,2021-05-01,21616,17964,3652,0,0,0
87,PA,85,Astrazeneca,2021-11-14,2021-11-01,5020,241,4680,93,6,0
88,SC,85,Astrazeneca,2021-09-12,2021-09-01,99554,1600,97933,20,1,0
89,SC,85,Astrazeneca,2021-10-17,2021-10-01,74867,1962,72727,160,18,0
90,SC,85,Astrazeneca,2021-01-31,2021-02-01,18848,18815,33,0,0,0
91,SC,85,Astrazeneca,2021-03-14,2021-03-01,2852,2848,4,0,0,0
92,SC,85,Astrazeneca,2021-10-31,2021-10-01,305,0,305,0,0,0
93,ES,85,Astrazeneca,2021-06-13,2021-06-01,117601,113042,4557,1,1,0
94,PR,85,Astrazeneca,2021-03-21,2021-03-01,3130,3081,49,0,0,0
95,PR,85,Astrazeneca,2021-11-14,2021-11-01,8925,82,8824,18,1,0
96,RS,85,Astrazeneca,2021-01-31,2021-01-01,9,9,0,0,0,0
97,SE,85,Astrazeneca,2021-09-26,2021-09-01,14279,83,14191,4,1,0
98,PB,85,Astrazeneca,1938-12-25,1938-12-01,1,0,1,0,0,0
99,PB,85,Astrazeneca,1967-06-25,1967-06-01,1,1,0,0,0,0
100,MG,85,Astrazeneca,2016-07-24,2016-07-01,1,0,1,0,0,0
101,AP,85,Astrazeneca,2021-04-25,2021-04-01,5772,3529,2243,0,0,0
102,AL,85,Astrazeneca,2021-08-15,2021-08-01,61514,12481,49018,0,0,0
103,AL,85,Astrazeneca,2021-02-28,2021-03-01,13378,13359,19,0,0,0
104,PR,85,Astrazeneca,2021-06-13,2021-06-01,396727,390820,5907,0,0,0
105,PR,85,Astrazeneca,2021-07-18,2021-07-01,450090,287442,162648,0,0,0
106,PR,85,Astrazeneca,2021-01-24,2021-01-01,38972,38925,47,0,0,0
107,PR,85,Astrazeneca,2021-02-14,2021-02-01,2007,1988,19,0,0,0
108,MS,85,Astrazeneca,2021-07-04,2021-07-01,66917,11486,55431,0,0,0
109,MS,85,Astrazeneca,2021-02-28,2021-03-01,14077,14011,66,0,0,0
110,MS,85,Astrazeneca,2021-01-17,2021-01-01,135,134,1,0,0,0
111,RO,85,Astrazeneca,2021-08-29,2021-09-01,19222,396,18826,0,0,0
112,RO,85,Astrazeneca,2021-05-30,2021-05-01,1790,1764,26,0,0,0
113,RS,85,Astrazeneca,2021-08-01,2021-08-01,168941,20159,148782,0,0,0
114,RS,85,Astrazeneca,2021-05-02,2021-05-01,277406,256308,21096,2,0,0
115,RS,85,Astrazeneca,2021-01-17,2021-01-01,195,192,3,0,0,0
116,PE,85,Astrazeneca,2021-06-06,2021-06-01,316889,302421,14468,0,0,0
117,PE,85,Astrazeneca,2021-02-28,2021-03-01,47409,47208,201,0,0,0
118,GO,85,Astrazeneca,2021-03-14,2021-03-01,2385,2216,169,0,0,0
119,GO,85,Astrazeneca,2021-04-04,2021-04-01,11416,8321,3095,0,0,0
120,GO,85,Astrazeneca,2021-09-05,2021-09-01,87317,998,86318,0,1,0
121,SP,85,Astrazeneca,2021-03-28,2021-03-01,3601,3360,240,0,1,0
122,SP,85,Astrazeneca,2021-09-19,2021-09-01,831006,6332,823629,908,137,0
123,MG,85,Astrazeneca,2021-08-08,2021-08-01,304395,46089,258303,0,3,0
124,PI,85,Astrazeneca,2021-04-18,2021-04-01,30545,27972,2573,0,0,0
125,PI,85,Astrazeneca,2021-01-24,2021-01-01,14065,14054,11,0,0,0
126,PB,85,Astrazeneca,2021-02-14,2021-02-01,512,499,13,0,0,0
127,AM,85,Astrazeneca,2021-09-19,2021-09-01,62633,4478,58070,82,3,0
128,AM,85,Astrazeneca,2021-04-11,2021-04-01,21148,20590,558,0,0,0
129,AM,85,Astrazeneca,2021-06-27,2021-07-01,37053,33291,3762,0,0,0
130,AM,85,Astrazeneca,2021-05-30,2021-05-01,7887,5263,2624,0,0,0
131,AM,85,Astrazeneca,2021-01-17,2021-01-01,59,58,1,0,0,0
132,MT,85,Astrazeneca,2021-07-11,2021-07-01,45823,20905,24918,0,0,0
133,MT,85,Astrazeneca,2021-09-26,2021-10-01,14296,204,14079,13,0,0
134,RJ,85,Astrazeneca,2021-08-29,2021-08-01,116481,2867,113611,2,1,0
135,RJ,85,Astrazeneca,2021-02-07,2021-02-01,27849,27672,177,0,0,0
136,MA,85,Astrazeneca,2021-08-22,2021-08-01,138244,6064,132179,0,1,0
137,BA,85,Astrazeneca,2021-07-18,2021-07-01,517048,335917,181131,0,0,0
138,BA,85,Astrazeneca,2021-05-02,2021-05-01,339192,302016,37176,0,0,0
139,BA,85,Astrazeneca,2021-05-23,2021-05-01,179834,143420,36414,0,0,0
140,BA,85,Astrazeneca,2021-03-28,2021-03-01,68916,68747,169,0,0,0
141,PA,85,Astrazeneca,2021-07-11,2021-07-01,142498,106772,35726,0,0,0
142,PA,85,Astrazeneca,2021-06-13,2021-06-01,273161,219093,54068,0,0,0
143,PA,85,Astrazeneca,2021-07-04,2021-07-01,151073,110570,40502,1,0,0
144,PA,85,Astrazeneca,2021-05-02,2021-05-01,54456,39544,14912,0,0,0
145,PA,85,Astrazeneca,2021-09-26,2021-10-01,12374,658,11673,10,33,0
146,PA,85,Astrazeneca,2021-09-05,2021-09-01,60717,7179,53533,3,2,0
147,PA,85,Astrazeneca,2021-08-29,2021-09-01,111117,7237,103879,0,1,0
148,SC,85,Astrazeneca,2021-10-03,2021-10-01,92963,415,92478,60,10,0
149,SC,85,Astrazeneca,2021-05-30,2021-06-01,118798,108534,10264,0,0,0
150,ES,85,Astrazeneca,2021-03-07,2021-03-01,6378,6317,61,0,0,0
151,ES,85,Astrazeneca,2021-11-07,2021-11-01,7530,92,7306,101,31,0
152,ES,85,Astrazeneca,2021-01-10,2021-01-01,2,2,0,0,0,0
153,RN,85,Astrazeneca,2021-01-24,2021-01-01,15143,15064,78,0,1,0
154,RN,85,Astrazeneca,2021-05-09,2021-05-01,38947,36741,2200,0,6,0
155,RN,85,Astrazeneca,2021-04-04,2021-04-01,15857,11759,4098,0,0,0
156,RN,85,Astrazeneca,2021-09-12,2021-09-01,63451,862,62549,32,8,0
157,RN,85,Astrazeneca,2021-08-29,2021-08-01,33057,1170,31883,4,0,0
158,PE,85,Astrazeneca,2021-11-14,2021-11-01,3746,25,3282,438,1,0
159,TO,85,Astrazeneca,2021-02-14,2021-02-01,1478,1477,1,0,0,0
160,SC,85,Astrazeneca,1921-04-10,1921-04-01,1,1,0,0,0,0
161,SE,85,Astrazeneca,2021-04-11,2021-04-01,18317,18301,16,0,0,0
162,AC,85,Astrazeneca,2021-03-07,2021-03-01,1589,1528,61,0,0,0
163,AC,85,Astrazeneca,2021-01-31,2021-02-01,1748,1747,1,0,0,0
164,MG,85,Astrazeneca,2020-07-05,2020-07-01,2,1,1,0,0,0
165,AP,85,Astrazeneca,2021-04-18,2021-04-01,6186,5231,955,0,0,0
166,AP,85,Astrazeneca,2021-03-21,2021-03-01,1504,1502,2,0,0,0
167,AP,85,Astrazeneca,2021-08-22,2021-08-01,6884,1121,5763,0,0,0
168,MS,85,Astrazeneca,2021-09-05,2021-09-01,11662,241,11421,0,0,0
169,MS,85,Astrazeneca,2021-01-24,2021-01-01,12107,12089,18,0,0,0
170,RO,85,Astrazeneca,2021-01-31,2021-02-01,6870,6857,13,0,0,0
171,PE,85,Astrazeneca,2021-10-24,2021-10-01,64944,305,64576,43,20,0
172,GO,85,Astrazeneca,2021-09-12,2021-09-01,83095,1000,82093,1,1,0
173,GO,85,Astrazeneca,2021-10-24,2021-10-01,51697,303,51244,114,36,0
174,SP,85,Astrazeneca,2021-07-18,2021-07-01,955784,397788,557966,4,26,0
175,SP,85,Astrazeneca,2021-04-04,2021-04-01,129744,129481,261,0,2,0
176,SP,85,Astrazeneca,2021-09-26,2021-09-01,359310,3031,355364,837,78,0
177,MG,85,Astrazeneca,2021-10-03,2021-10-01,232174,1308,230673,159,34,0
178,PI,85,Astrazeneca,2021-05-30,2021-05-01,6009,5294,715,0,0,0
179,PI,85,Astrazeneca,2021-10-24,2021-10-01,30432,186,30223,13,10,0
180,PB,85,Astrazeneca,2021-06-20,2021-06-01,42140,23992,18148,0,0,0
181,PB,85,Astrazeneca,2021-02-28,2021-03-01,28277,28196,81,0,0,0
182,AM,85,Astrazeneca,2021-09-05,2021-09-01,81967,4219,77743,2,3,0
183,AM,85,Astrazeneca,2021-04-25,2021-05-01,6582,2409,4173,0,0,0
184,AM,85,Astrazeneca,2021-03-28,2021-04-01,2664,2639,25,0,0,0
185,MT,85,Astrazeneca,2021-02-14,2021-02-01,1272,1263,9,0,0,0
186,MT,85,Astrazeneca,2021-04-25,2021-05-01,5859,5061,798,0,0,0
187,MT,85,Astrazeneca,2021-03-21,2021-03-01,584,581,3,0,0,0
188,RJ,85,Astrazeneca,2021-01-31,2021-02-01,60959,60777,181,0,1,0
189,RR,85,Astrazeneca,2021-04-25,2021-04-01,932,865,67,0,0,0
190,MA,85,Astrazeneca,2021-04-18,2021-04-01,77263,71286,5976,1,0,0
191,BA,85,Astrazeneca,2021-08-15,2021-08-01,148734,15907,132824,0,3,0
192,PA,85,Astrazeneca,2021-08-29,2021-08-01,30333,5603,24729,0,1,0
193,SC,85,Astrazeneca,2021-09-19,2021-09-01,98868,758,98044,52,14,0
194,ES,85,Astrazeneca,2021-01-31,2021-02-01,10304,10293,10,1,0,0
195,ES,85,Astrazeneca,2021-03-28,2021-03-01,5298,5292,6,0,0,0
196,PR,85,Astrazeneca,2021-01-17,2021-01-01,222,217,5,0,0,0
197,RN,85,Astrazeneca,2021-07-18,2021-07-01,115794,84866,30923,0,2,3
198,RN,85,Astrazeneca,2021-08-01,2021-08-01,48385,6788,41597,0,0,0
199,RN,85,Astrazeneca,2021-10-03,2021-10-01,39618,390,39141,27,60,0
200,MS,85,Astrazeneca,2021-11-14,2021-11-01,2109,148,951,33,977,0
201,CE,85,Astrazeneca,2021-08-29,2021-08-01,16926,331,16595,0,0,0
202,TO,85,Astrazeneca,2021-09-12,2021-09-01,25774,504,25267,3,0,0
203,BA,85,Astrazeneca,2021-11-14,2021-11-01,9966,200,9743,17,6,0
204,MG,85,Astrazeneca,2020-08-09,2020-08-01,1,1,0,0,0,0
205,SE,85,Astrazeneca,2021-04-25,2021-04-01,20465,20091,374,0,0,0
206,SE,85,Astrazeneca,2021-03-28,2021-04-01,3299,3293,6,0,0,0
207,SE,85,Astrazeneca,2021-09-12,2021-09-01,51372,221,51149,0,2,0
208,SE,85,Astrazeneca,2021-11-07,2021-11-01,5410,13,5385,12,0,0
209,AC,85,Astrazeneca,2021-06-27,2021-07-01,8980,5417,3562,0,1,0
210,AC,85,Astrazeneca,2021-02-28,2021-02-01,231,230,1,0,0,0
211,MG,85,Astrazeneca,2002-06-09,2002-06-01,1,1,0,0,0,0
212,AP,85,Astrazeneca,2021-09-05,2021-09-01,9426,341,9085,0,0,0
213,PR,85,Astrazeneca,2021-06-06,2021-06-01,449681,437146,12535,0,0,0
214,MS,85,Astrazeneca,2021-06-27,2021-07-01,57743,35400,22343,0,0,0
215,MS,85,Astrazeneca,2021-04-25,2021-05-01,11066,10973,93,0,0,0
216,MS,85,Astrazeneca,2021-02-21,2021-02-01,4020,3968,52,0,0,0
217,RO,85,Astrazeneca,2021-09-26,2021-09-01,9597,162,9424,9,2,0
218,RS,85,Astrazeneca,2021-05-23,2021-05-01,142151,114327,27824,0,0,0
219,RS,85,Astrazeneca,2021-01-24,2021-01-01,50863,50834,29,0,0,0
220,DF,85,Astrazeneca,2021-08-22,2021-08-01,34799,2499,32299,0,1,0
221,DF,85,Astrazeneca,2021-05-23,2021-05-01,18380,11064,7316,0,0,0
222,DF,85,Astrazeneca,2021-03-21,2021-03-01,164,140,24,0,0,0
223,PE,85,Astrazeneca,2021-05-09,2021-05-01,90637,83773,6864,0,0,0
224,GO,85,Astrazeneca,2021-04-18,2021-04-01,103426,87707,15719,0,0,0
225,GO,85,Astrazeneca,2021-09-26,2021-09-01,53803,356,53425,9,13,0
226,GO,85,Astrazeneca,2021-11-07,2021-11-01,25902,302,25561,35,4,0
227,SP,85,Astrazeneca,2021-10-03,2021-10-01,376996,2496,373333,893,274,0
228,MG,85,Astrazeneca,2021-06-20,2021-06-01,339261,317154,22107,0,0,0
229,PI,85,Astrazeneca,2021-07-11,2021-07-01,52959,24398,28561,0,0,0
230,PI,85,Astrazeneca,2021-05-23,2021-05-01,26129,23359,2770,0,0,0
231,PI,85,Astrazeneca,2021-09-05,2021-09-01,62708,1304,61402,1,1,0
232,PI,85,Astrazeneca,2021-02-14,2021-02-01,361,353,8,0,0,0
233,PB,85,Astrazeneca,2021-04-11,2021-04-01,17805,15836,1969,0,0,0
234,PB,85,Astrazeneca,2021-09-26,2021-10-01,6160,31,6128,0,1,0
235,PB,85,Astrazeneca,2021-02-28,2021-02-01,108,107,1,0,0,0
236,AM,85,Astrazeneca,2021-03-21,2021-03-01,2462,2436,26,0,0,0
237,AM,85,Astrazeneca,2021-03-14,2021-03-01,4457,4431,26,0,0,0
238,MT,85,Astrazeneca,2021-07-04,2021-07-01,70017,54995,15022,0,0,0
239,RR,85,Astrazeneca,2021-08-22,2021-08-01,4934,1238,3696,0,0,0
240,MA,85,Astrazeneca,2021-06-06,2021-06-01,324921,319197,5724,0,0,0
241,MA,85,Astrazeneca,2021-05-16,2021-05-01,65215,57532,7683,0,0,0
242,SC,85,Astrazeneca,2021-04-18,2021-04-01,111300,106927,4373,0,0,0
243,SC,85,Astrazeneca,2021-11-14,2021-11-01,5050,84,4960,4,2,0
244,ES,85,Astrazeneca,2021-04-11,2021-04-01,41706,40399,1307,0,0,0
245,ES,85,Astrazeneca,2021-03-21,2021-03-01,1982,1970,12,0,0,0
246,RN,85,Astrazeneca,2021-03-14,2021-03-01,3008,2996,12,0,0,0
247,CE,85,Astrazeneca,2021-05-16,2021-05-01,60045,46916,13129,0,0,0
248,CE,85,Astrazeneca,2021-02-14,2021-02-01,4933,4916,17,0,0,0
249,MA,85,Astrazeneca,2021-01-31,2021-01-01,14,14,0,0,0,0
250,TO,85,Astrazeneca,2021-09-05,2021-09-01,16118,257,15857,4,0,0
251,SE,85,Astrazeneca,2021-06-13,2021-06-01,73500,72582,918,0,0,0
252,SE,85,Astrazeneca,2021-07-11,2021-07-01,32944,13523,19421,0,0,0
253,SE,85,Astrazeneca,2021-05-02,2021-05-01,20963,17977,2986,0,0,0
254,SE,85,Astrazeneca,2021-05-23,2021-05-01,29424,28255,1169,0,0,0
255,AC,85,Astrazeneca,2021-05-02,2021-05-01,9125,7589,1536,0,0,0
256,AC,85,Astrazeneca,2021-01-24,2021-01-01,794,792,2,0,0,0
257,MG,85,Astrazeneca,2019-07-14,2019-07-01,1,0,1,0,0,0
258,AP,85,Astrazeneca,2021-07-25,2021-07-01,11300,5836,5464,0,0,0
259,AP,85,Astrazeneca,2021-08-29,2021-09-01,10070,627,9443,0,0,0
260,AP,85,Astrazeneca,2021-01-31,2021-02-01,2934,2925,9,0,0,0
261,AP,85,Astrazeneca,2021-02-07,2021-02-01,522,521,1,0,0,0
262,AP,85,Astrazeneca,2021-11-14,2021-11-01,50,2,48,0,0,0
263,AL,85,Astrazeneca,2021-08-29,2021-09-01,29714,8865,20849,0,0,0
264,PR,85,Astrazeneca,2021-10-10,2021-10-01,151145,335,150652,131,27,0
265,PR,85,Astrazeneca,2021-09-12,2021-09-01,216162,1428,214732,0,2,0
266,MS,85,Astrazeneca,2021-08-15,2021-08-01,44232,516,43716,0,0,0
267,MS,85,Astrazeneca,2021-01-31,2021-02-01,4238,4229,8,0,0,1
268,RO,85,Astrazeneca,2021-09-19,2021-09-01,16461,168,16290,1,2,0
269,RO,85,Astrazeneca,2021-07-11,2021-07-01,24604,16091,8513,0,0,0
270,RO,85,Astrazeneca,2021-04-11,2021-04-01,4467,4430,37,0,0,0
271,RO,85,Astrazeneca,2021-11-07,2021-11-01,8929,256,8355,315,3,0
272,RS,85,Astrazeneca,2021-08-15,2021-08-01,204237,17985,186252,0,0,0
273,RS,85,Astrazeneca,2021-05-09,2021-05-01,247139,238522,8616,0,1,0
274,RS,85,Astrazeneca,2021-05-30,2021-05-01,40969,37830,3139,0,0,0
275,DF,85,Astrazeneca,2021-07-25,2021-07-01,75259,14453,60806,0,0,0
276,DF,85,Astrazeneca,2021-02-07,2021-02-01,1944,1941,3,0,0,0
277,PE,85,Astrazeneca,2021-06-27,2021-06-01,53997,45139,8858,0,0,0
278,PE,85,Astrazeneca,2021-08-15,2021-08-01,160348,11682,148666,0,0,0
279,GO,85,Astrazeneca,2021-01-31,2021-02-01,31456,31271,185,0,0,0
280,MG,85,Astrazeneca,2021-06-06,2021-06-01,566737,500195,66542,0,0,0
281,MG,85,Astrazeneca,2021-08-29,2021-09-01,263947,12465,251479,0,3,0
282,PI,85,Astrazeneca,2021-04-11,2021-04-01,22735,15049,7686,0,0,0
283,PI,85,Astrazeneca,2021-02-21,2021-02-01,3799,3778,21,0,0,0
284,PB,85,Astrazeneca,2021-07-04,2021-07-01,48474,34655,13810,0,0,0
285,AM,85,Astrazeneca,2021-06-06,2021-06-01,137609,122186,15423,0,0,0
286,AM,85,Astrazeneca,2021-10-03,2021-10-01,44649,4921,36346,3335,47,0
287,AM,85,Astrazeneca,2021-05-16,2021-05-01,57261,42511,14750,0,0,0
288,AM,85,Astrazeneca,2021-03-07,2021-03-01,23154,23064,90,0,0,0
289,MT,85,Astrazeneca,2021-08-15,2021-08-01,45407,11762,33645,0,0,0
290,RJ,85,Astrazeneca,2021-04-25,2021-04-01,317820,263385,54433,1,1,0
291,RR,85,Astrazeneca,2021-07-18,2021-07-01,13418,12781,637,0,0,0
292,RR,85,Astrazeneca,2021-10-03,2021-10-01,5825,222,5584,16,3,0
293,MA,85,Astrazeneca,2021-08-08,2021-08-01,75349,11376,63973,0,0,0
294,BA,85,Astrazeneca,2021-03-14,2021-03-01,4728,4695,33,0,0,0
295,SC,85,Astrazeneca,2021-07-04,2021-07-01,171863,118325,53538,0,0,0
296,ES,85,Astrazeneca,2021-08-22,2021-08-01,100377,5820,94532,23,2,0
297,RN,85,Astrazeneca,2021-10-10,2021-10-01,32140,317,31722,45,56,0
298,RN,85,Astrazeneca,2021-10-24,2021-10-01,21181,252,20867,31,31,0
299,CE,85,Astrazeneca,2021-08-22,2021-08-01,110687,1203,109484,0,0,0
300,CE,85,Astrazeneca,2021-03-28,2021-03-01,1289,1268,21,0,0,0
301,CE,85,Astrazeneca,2021-10-31,2021-10-01,1008,3,1005,0,0,0
302,MG,85,Astrazeneca,2021-11-14,2021-11-01,21611,140,21402,60,9,0
303,TO,85,Astrazeneca,2021-06-27,2021-06-01,17597,16000,1597,0,0,0
304,AL,85,Astrazeneca,2021-11-07,2021-11-01,14546,265,14100,159,22,0
305,AP,85,Astrazeneca,2021-01-17,2021-01-01,5,5,0,0,0,0
306,AL,85,Astrazeneca,2021-08-01,2021-08-01,60541,12390,48151,0,0,0
307,AL,85,Astrazeneca,2021-04-11,2021-04-01,25994,25934,60,0,0,0
308,PR,85,Astrazeneca,2021-04-11,2021-04-01,98144,93491,4652,1,0,0
309,MS,85,Astrazeneca,2021-07-25,2021-07-01,50684,12161,38522,1,0,0
310,MS,85,Astrazeneca,2021-06-06,2021-06-01,74987,66091,8892,0,4,0
311,MS,85,Astrazeneca,2021-04-25,2021-04-01,39734,36169,3565,0,0,0
312,RO,85,Astrazeneca,2021-08-22,2021-08-01,22211,722,21489,0,0,0
313,RO,85,Astrazeneca,2021-02-07,2021-02-01,2465,2456,9,0,0,0
314,RO,85,Astrazeneca,2021-03-21,2021-03-01,462,459,3,0,0,0
315,RS,85,Astrazeneca,2021-06-27,2021-06-01,38457,17045,21412,0,0,0
316,RS,85,Astrazeneca,2021-05-16,2021-05-01,160745,152116,8629,0,0,0
317,RS,85,Astrazeneca,2021-01-31,2021-02-01,39229,39195,34,0,0,0
318,DF,85,Astrazeneca,2021-08-15,2021-08-01,37663,3578,34085,0,0,0
319,DF,85,Astrazeneca,2021-06-27,2021-06-01,4286,3236,1050,0,0,0
320,PE,85,Astrazeneca,2021-06-20,2021-06-01,104046,97585,6461,0,0,0
321,GO,85,Astrazeneca,2021-01-31,2021-01-01,2085,2084,1,0,0,0
