CO_MUNICIP,CO_MACSAUD
210355,2110
210370,2110
210430,2110
210465,2110
210467,2110
210490,2110
210500,2110
210510,2110
210515,2110
210540,2110
210565,2110
210590,2110
210620,2110
210630,2110
210632,2110
210635,2110
210637,2110
210640,2110
210650,2110
210663,2110
210667,2110
210675,2110
210680,2110
210690,2110
210710,2110
210720,2110
210735,2110
210740,2110
210745,2110
210750,2110
210760,2110
210805,2110
210810,2110
210825,2110
210830,2110
210840,2110
210850,2110
210860,2110
210870,2110
210880,2110
210905,2110
210920,2110
210923,2110
210927,2110
210930,2110
210940,2110
210945,2110
210960,2110
210980,2110
210990,2110
211000,2110
211003,2110
211010,2110
211020,2110
211023,2110
211027,2110
211040,2110
211050,2110
211060,2110
211100,2110
211102,2110
211120,2110
211130,2110
211140,2110
211170,2110
211172,2110
211178,2110
211227,2110
211240,2110
211245,2110
211250,2110
211260,2110
211270,2110
211280,2110
211290,2110
211300,2110
211400,2110
210010,2111
210030,2111
210043,2111
210150,2111
210180,2111
210193,2111
210220,2111
210230,2111
210275,2111
210300,2111
210330,2111
210340,2111
210350,2111
210360,2111
210380,2111
210390,2111
210400,2111
210420,2111
210440,2111
210450,2111
210460,2111
210462,2111
210470,2111
210520,2111
210545,2111
210560,2111
210570,2111
210580,2111
210592,2111
210594,2111
210596,2111
210600,2111
210660,2111
210670,2111
210730,2111
210770,2111
210780,2111
210790,2111
210800,2111
210820,2111
210845,2111
210890,2111
210910,2111
210975,2111
211030,2111
211065,2111
211070,2111
211090,2111
211107,2111
211110,2111
211125,2111
211150,2111
211163,2111
211167,2111
211174,2111
211190,2111
211195,2111
211210,2111
211220,2111
211223,2111
211230,2111
220005,2207
220025,2207
220027,2207
220090,2207
220095,2207
220117,2207
220155,2207
220157,2207
220173,2207
220180,2207
220207,2207
220209,2207
220210,2207
220213,2207
220255,2207
220277,2207
220280,2207
220327,2207
220340,2207
220350,2207
220385,2207
220400,2207
220415,2207
220420,2207
220430,2207
220435,2207
220470,2207
220480,2207
220490,2207
220500,2207
220515,2207
220520,2207
220559,2207
220595,2207
220605,2207
220650,2207
220690,2207
220700,2207
220720,2207
220755,2207
220777,2207
220780,2207
220800,2207
220810,2207
220820,2207
220860,2207
220865,2207
220910,2207
220915,2207
220935,2207
220937,2207
220940,2207
220950,2207
220960,2207
220965,2207
220985,2207
220995,2207
221020,2207
221030,2207
221037,2207
221038,2207
221070,2207
221080,2207
221093,2207
221097,2207
221130,2207
221140,2207
221150,2207
221160,2207
221170,2207
220010,2208
220020,2208
220030,2208
220040,2208
220050,2208
220060,2208
220105,2208
220140,2208
220160,2208
220177,2208
220194,2208
220202,2208
220205,2208
220220,2208
220260,2208
220271,2208
220273,2208
220325,2208
220330,2208
220460,2208
220525,2208
220527,2208
220550,2208
220551,2208
220554,2208
220555,2208
220558,2208
220620,2208
